dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
census_income_kdd,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,2,244.735,244.735,244.735,20.0,3.525,70.5,0.946,0.946,0.641,0.64,53.316,53.316,53.316,0.0,0.142,2.838,0.001,0.001,0.025,0.025
census_income_kdd,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,2,2108.848,2108.848,2108.848,124.7,3.494,443.2,0.939,0.939,0.64,0.642,684.538,684.538,684.538,31.665,0.323,146.447,0.019,0.018,0.078,0.08
census_income_kdd,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,2,54.515,54.515,54.515,5.3,3.574,19.0,0.946,0.946,0.604,0.604,17.287,17.287,17.287,0.823,0.265,3.771,0.001,0.001,0.012,0.014
census_income_kdd,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,2,45.587,45.587,45.587,4.6,3.405,15.7,0.919,0.918,0.665,0.665,19.213,19.213,19.213,0.516,0.251,2.359,0.046,0.046,0.101,0.102
census_income_kdd,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,2,54.038,54.038,54.038,6.0,3.467,20.8,0.939,0.938,0.714,0.713,9.593,9.593,9.593,0.0,0.172,1.033,0.008,0.009,0.018,0.018
census_income_kdd,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,2,97.729,97.729,97.729,10.0,3.48,34.8,0.946,0.946,0.656,0.654,20.285,20.285,20.285,0.0,0.187,1.874,0.001,0.001,0.04,0.041
census_income_kdd,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,2,48.229,48.229,48.229,6.0,3.433,20.8,0.934,0.934,0.723,0.721,9.873,9.873,9.873,0.943,0.304,4.59,0.016,0.017,0.027,0.027
census_income_kdd,RuleKit_mincov-5_measure-C2,2,4745.714,4745.714,4745.714,2549.5,5.604,14311.8,0.948,0.948,0.685,0.685,1094.615,1094.615,1094.615,235.767,0.149,1634.291,0.001,0.001,0.015,0.015
census_income_kdd,RuleKit_mincov-5_measure-C2_maxNbRules-10,2,72.215,72.215,72.215,20.0,4.115,82.3,0.924,0.924,0.759,0.759,19.341,19.341,19.341,0.0,0.156,3.129,0.001,0.002,0.006,0.009
census_income_kdd,RuleKit_mincov-5_measure-C2_maxNbRules-100,2,495.753,495.753,495.753,200.0,4.716,943.3,0.948,0.948,0.689,0.688,47.162,47.162,47.162,0.0,0.054,10.894,0.0,0.001,0.006,0.008
census_income_kdd,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,2,1180.382,1180.382,1180.382,509.8,5.209,2658.2,0.949,0.948,0.678,0.677,191.563,191.563,191.563,47.003,0.091,281.94,0.001,0.001,0.009,0.006
